Name,Deadline,Status,Priority,Category
Os Assignmend Pending,23 - 02 - 2025,Not Started,Medium,Other
Complete Operating System Assignment,23 - 02 - 2025,Not Started,Medium,Development
Debug System Architecture,End of Sprint,In Code Review,Critical,Backend Development
Debug System Architecture,End of Sprint,In Code Review,Critical,Backend Development
Debug System Architecture,End of Sprint,In Code Review,Critical,Backend Development
Debug System Architecture,End of Sprint,In Code Review,Critical,Backend Development
Complete Project Report,10 - 03 - 2025,In Progress,High,Documentation
Complete project report,10-03-2025,In Progress,High,Work
Complete project report,11-03-2025,In Progress,High,Work
Complete the sports report,10-03-2025,In Progress,High,Work
Complete project report,10-03-2025,In Progress,High,Work
Complete project report,10-03-2025,In Progress,High,Work
